,uuid,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20
0,00039425-7f3a-42aa-ac13-834aaa2b6b92,-202.81847,194.5972,-71.47292,42.20991,7.3208175,-27.096272,36.357483,-17.363409,-14.530609,12.805443,-24.797064,-2.5498993,-21.403387,-11.467141,-4.523193,1.1102664,-7.1915517,-4.5199227,-11.923835,2.8858929
1,0009eb28-d8be-4dc1-92bb-907e53bc5c7a,-172.31447,200.34593,-62.346516,17.396923,-4.9729342,-38.12651,3.6761043,-20.19846,-12.580178,3.146021,-8.90283,7.1398387,-15.512953,-4.709408,5.1316533,-4.681426,-1.3665702,-5.6784124,-14.712407,-0.49264988
2,001328dc-ea5d-4847-9ccf-c5aa2a3f2d0f,-197.70706,179.53847,-121.3184,14.607339,-1.0355699,-24.809984,28.45104,-22.88088,-14.673836,-1.1435938,-32.67288,16.11332,-12.86317,0.18833947,-14.852964,-4.1101637,-3.2923884,-7.1735964,-5.8776784,-0.9776332
3,001e2f19-d81c-4029-b33c-d2db56b23a4a,-248.20668,173.16266,-48.31327,23.049091,15.69393,-18.401411,7.412164,-7.248739,-6.4272904,-7.0833,-22.589529,-7.493278,-12.16473,-12.82235,-9.325988,-8.919389,-0.9776929,-3.449325,-10.468725,-4.9016304
4,0028b68c-aca4-4f4f-bb1d-cb4ed5bbd952,-157.49373,165.991,-124.681984,1.4450165,-10.228281,-32.43021,21.087866,-15.865778,-10.283755,0.8128417,-16.3522,20.630337,-22.961744,-9.794572,-12.996756,-13.109173,-0.5169637,-3.4663587,-13.417298,-8.958661
5,00291cce-36a0-4a29-9e2d-c1d96ca17242,-181.84976,188.00562,-43.344135,12.963434,2.3114414,-22.013094,12.142994,-18.15822,-19.045334,-2.1441553,-21.102528,-7.9886827,-9.316029,-9.477892,-2.7517047,-1.3262327,-10.400286,-5.7041297,-3.2947123,-3.050807
6,0029d048-898a-4c70-89c7-0815cdcf7391,-186.6515,195.21684,-87.370735,9.681625,4.2757235,-15.088632,20.641317,-13.584261,-2.0471358,7.5585456,-20.908985,-4.420649,-19.249191,-11.835949,-9.385077,-4.938182,-2.3691778,-3.808739,-2.6766822,-4.186326
7,002d28bc-7806-4dfb-9c9b-afa8cb623cac,-196.54301,179.81352,-93.56811,13.138077,-4.4482083,-33.6453,9.94543,-24.87026,-16.168226,-4.703427,-22.98694,12.744295,1.6140944,5.2088833,0.20103087,-0.72835886,2.5389144,-3.4277768,-11.103125,-6.2503557
8,003e1bf6-2ecf-4a00-9198-29db34e8d7ac,-247.29933,187.84486,-48.75915,-4.9585524,-3.0703778,-26.403482,-4.519264,-20.513836,-21.08864,-13.621829,-18.431738,-3.7086136,-3.6285002,-4.6071525,-0.83477056,-4.5089107,0.9666099,3.3685403,-2.4710162,-3.742128
9,0044964d-f7e9-43e3-831f-ae3e6374a9a4,-140.97574,169.92438,-92.56447,15.038794,0.5000818,-29.515186,10.822272,-20.47241,-12.925972,-1.4343035,-21.404308,6.185159,-9.305808,0.62639767,-3.9560373,-12.413011,-5.322494,-0.6034954,-3.5705593,-2.3181293
10,0044cb7b-448c-44e5-8302-ad8bd106fe3e,-197.00899,171.3972,-96.72282,48.67464,15.0413475,-31.669043,20.124802,-23.665878,-10.223623,7.243008,-24.286825,16.26839,-15.826475,2.6546068,-0.335482,-0.04260256,-5.3906446,-8.1436,-11.282715,-5.5000668
11,004c24d8-e8cd-4755-86f6-5a1d8c7920c7,-168.67252,178.41994,-75.650314,31.122942,-1.777288,-28.193459,42.447147,-13.075177,-20.548061,9.508063,-17.185637,8.742448,-8.155956,-4.3411107,0.17242327,-3.197869,-10.547357,0.5627874,-10.10382,-3.7965753
12,005887c9-4bb1-4f13-86b2-1c7b3cee0881,-214.84398,169.27966,-62.380085,34.78515,20.978539,-15.6050205,17.229113,-5.034634,-6.1366262,-5.6965036,-15.947058,11.811675,-11.0516615,-10.294704,-8.71718,-15.048955,-9.649189,-8.308988,-5.3011456,-1.9315662
13,005b8518-03ba-4bf5-86d2-005541442357,-186.01645,204.1239,-59.39455,24.643555,0.5572298,-33.01235,9.14933,-18.879232,-11.974983,1.0038477,-16.361685,10.032983,-5.8140073,-10.24294,-8.277673,-3.8215847,-1.0313534,-3.1903722,-7.648637,-5.2145085
14,005bca13-18d1-4514-a086-cc8c3fafeeb2,-187.62369,180.08139,-95.855156,13.635827,2.8531969,-23.246437,14.050189,-30.80411,-21.963549,-4.6584835,-27.931002,3.5532656,-7.4787717,-6.1876783,-8.743374,-3.8530724,-5.612205,-4.406693,-3.8484323,-7.6326947
15,006d8d1c-2bf6-46a6-8ef2-1823898a4733,-259.71863,162.253,-50.537376,-2.4244053,3.8517642,-13.078726,15.763253,-2.6090589,-7.9789968,0.63812286,-11.252516,-2.2201188,-1.3274591,-9.622289,-2.287027,0.041411214,-6.1307535,-6.185514,-4.0773773,-1.6811538
16,006daa68-31b7-44ab-b0c6-7e5ef4e1ebf7,-173.00316,200.04475,-70.78435,2.9304872,-3.4166136,-22.798702,14.9886265,-23.233713,-21.666058,-5.1758122,-22.726467,2.8924844,-5.658248,-1.5230823,-6.7470574,-7.5363617,-7.2330317,-1.7151718,-3.5944054,-2.8196008
